,year,community,count
166,2016,BRIDGEPORT,12
167,2016,BEVERLY,12
168,2016,LOGAN SQUARE,12
169,2016,LINCOLN SQUARE,12
170,2016,LINCOLN PARK,12
171,2016,LAKE VIEW,12
172,2016,JEFFERSON PARK,12
173,2016,IRVING PARK,12
174,2016,HYDE PARK,12
175,2016,HUMBOLDT PARK,12
176,2016,HERMOSA,12
177,2016,GREATER GRAND CROSSING,12
178,2016,GRAND BOULEVARD,12
179,2016,GARFIELD RIDGE,12
180,2016,GAGE PARK,12
181,2016,NORTH PARK,12
182,2016,NORTH LAWNDALE,12
183,2016,NORTH CENTER,12
184,2016,NEW CITY,12
185,2016,NEAR WEST SIDE,12
186,2016,NEAR SOUTH SIDE,12
187,2016,NEAR NORTH SIDE,12
188,2016,MOUNT GREENWOOD,12
189,2016,MONTCLARE,12
190,2016,MCKINLEY PARK,12
191,2016,LOWER WEST SIDE,12
192,2016,LOOP,12
193,2018,BRIGHTON PARK,12
194,2018,BRIDGEPORT,12
195,2018,BEVERLY,12
196,2018,BELMONT CRAGIN,12
197,2018,AVONDALE,12
198,2018,AUSTIN,12
199,2018,AUBURN GRESHAM,12
200,2018,ASHBURN,12
201,2018,ARMOUR SQUARE,12
202,2018,ALBANY PARK,12
203,2016,WEST TOWN,12
204,2016,WEST RIDGE,12
205,2016,WEST PULLMAN,12
206,2016,WEST LAWN,12
207,2016,WEST GARFIELD PARK,12
208,2016,WEST ENGLEWOOD,12
209,2016,WEST ELSDON,12
210,2016,WASHINGTON PARK,12
211,2016,UPTOWN,12
212,2016,SOUTH SHORE,12
213,2016,SOUTH LAWNDALE,12
214,2016,SOUTH DEERING,12
215,2016,SOUTH CHICAGO,12
216,2016,ROSELAND,12
217,2016,ROGERS PARK,12
218,2016,PORTAGE PARK,12
219,2014,ARMOUR SQUARE,12
220,2018,WEST RIDGE,12
221,2018,WEST LAWN,12
222,2018,WEST ELSDON,12
223,2018,WASHINGTON PARK,12
224,2018,UPTOWN,12
225,2018,SOUTH SHORE,12
226,2018,SOUTH LAWNDALE,12
227,2018,ROSELAND,12
228,2018,ROGERS PARK,12
229,2014,DUNNING,12
230,2014,CLEARING,12
231,2014,CHICAGO LAWN,12
232,2014,CHATHAM,12
233,2014,CALUMET HEIGHTS,12
234,2014,BRIGHTON PARK,12
235,2014,BRIDGEPORT,12
236,2014,BELMONT CRAGIN,12
237,2014,AVONDALE,12
238,2014,AUSTIN,12
239,2014,AUBURN GRESHAM,12
240,2014,ASHBURN,12
241,2014,BEVERLY,11
242,2018,SOUTH DEERING,11
243,2018,SOUTH CHICAGO,11
244,2015,WOODLAWN,11
