,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
67,CHATHAM,11.0,275.0,2014-01-01,2014,1,383,2014-02-01
68,GRAND BOULEVARD,7.0,108.0,2014-01-01,2014,1,209,2014-02-01
69,MOUNT GREENWOOD,1.0,123.0,2014-02-01,2014,2,50,2014-03-01
70,HEGEWISCH,2.0,162.0,2014-02-01,2014,2,58,2014-03-01
71,NORWOOD PARK,2.0,351.0,2014-02-01,2014,2,136,2014-03-01
72,WOODLAWN,5.0,145.0,2014-02-01,2014,2,302,2014-03-01
73,BURNSIDE,1.0,24.0,2014-02-01,2014,2,36,2014-03-01
74,BEVERLY,3.0,172.0,2014-02-01,2014,2,69,2014-03-01
75,DOUGLAS,3.0,66.0,2014-02-01,2014,2,213,2014-03-01
76,SOUTH SHORE,9.0,410.0,2014-02-01,2014,2,730,2014-03-01
77,HYDE PARK,4.0,167.0,2014-02-01,2014,2,90,2014-03-01
78,WEST GARFIELD PARK,3.0,143.0,2014-02-01,2014,2,534,2014-03-01
79,EAST GARFIELD PARK,22.0,224.0,2014-02-01,2014,2,510,2014-03-01
80,FOREST GLEN,11.0,253.0,2014-02-01,2014,2,36,2014-03-01
81,GREATER GRAND CROSSING,2.0,395.0,2014-02-01,2014,2,549,2014-03-01
82,ROSELAND,9.0,361.0,2014-02-01,2014,2,640,2014-03-01
83,WEST PULLMAN,7.0,149.0,2014-02-01,2014,2,343,2014-03-01
84,EAST SIDE,49.0,170.0,2014-02-01,2014,2,115,2014-03-01
85,AUSTIN,11.0,792.0,2014-02-01,2014,2,1545,2014-03-01
86,SOUTH DEERING,11.0,191.0,2014-02-01,2014,2,170,2014-03-01
87,GRAND BOULEVARD,7.0,103.0,2014-02-01,2014,2,307,2014-03-01
88,ARMOUR SQUARE,54.0,114.0,2014-02-01,2014,2,108,2014-03-01
89,WEST LAWN,95.0,178.0,2014-02-01,2014,2,185,2014-03-01
90,NEAR WEST SIDE,92.0,661.0,2014-02-01,2014,2,652,2014-03-01
91,CLEARING,9.0,176.0,2014-02-01,2014,2,103,2014-03-01
92,GARFIELD RIDGE,151.0,345.0,2014-02-01,2014,2,174,2014-03-01
93,WEST ELSDON,157.0,125.0,2014-02-01,2014,2,99,2014-03-01
94,CHATHAM,5.0,281.0,2014-02-01,2014,2,543,2014-03-01
95,NEAR NORTH SIDE,60.0,376.0,2014-02-01,2014,2,778,2014-03-01
96,ENGLEWOOD,9.0,110.0,2014-02-01,2014,2,628,2014-03-01
97,SOUTH CHICAGO,40.0,136.0,2014-02-01,2014,2,393,2014-03-01
98,LOWER WEST SIDE,615.0,440.0,2014-02-01,2014,2,232,2014-03-01
99,JEFFERSON PARK,51.0,228.0,2014-02-01,2014,2,85,2014-03-01
100,MORGAN PARK,2.0,86.0,2014-02-01,2014,2,131,2014-03-01
101,WASHINGTON HEIGHTS,8.0,282.0,2014-02-01,2014,2,262,2014-03-01
102,CALUMET HEIGHTS,3.0,155.0,2014-02-01,2014,2,128,2014-03-01
103,ALBANY PARK,412.0,237.0,2014-02-01,2014,2,190,2014-03-01
104,NORTH PARK,34.0,258.0,2014-02-01,2014,2,75,2014-03-01
105,PORTAGE PARK,228.0,507.0,2014-02-01,2014,2,291,2014-03-01
106,ARCHER HEIGHTS,261.0,100.0,2014-02-01,2014,2,100,2014-03-01
107,ROGERS PARK,142.0,449.0,2014-02-01,2014,2,318,2014-03-01
108,SOUTH LAWNDALE,1053.0,312.0,2014-02-01,2014,2,379,2014-03-01
109,LINCOLN SQUARE,241.0,282.0,2014-02-01,2014,2,127,2014-03-01
110,CHICAGO LAWN,142.0,334.0,2014-02-01,2014,2,516,2014-03-01
111,DUNNING,87.0,338.0,2014-02-01,2014,2,112,2014-03-01
112,WEST ENGLEWOOD,31.0,219.0,2014-02-01,2014,2,554,2014-03-01
113,LOOP,81.0,299.0,2014-02-01,2014,2,581,2014-03-01
114,LAKE VIEW,250.0,551.0,2014-02-01,2014,2,389,2014-03-01
115,AUBURN GRESHAM,7.0,544.0,2014-02-01,2014,2,688,2014-03-01
116,NEAR SOUTH SIDE,12.0,65.0,2014-02-01,2014,2,137,2014-03-01
117,MONTCLARE,28.0,113.0,2014-02-01,2014,2,38,2014-03-01
118,ASHBURN,48.0,268.0,2014-02-01,2014,2,163,2014-03-01
119,WEST TOWN,670.0,590.0,2014-02-01,2014,2,620,2014-03-01
120,GAGE PARK,345.0,223.0,2014-02-01,2014,2,217,2014-03-01
121,HUMBOLDT PARK,126.0,321.0,2014-02-01,2014,2,735,2014-03-01
122,BRIGHTON PARK,803.0,221.0,2014-02-01,2014,2,258,2014-03-01
123,MCKINLEY PARK,330.0,149.0,2014-02-01,2014,2,89,2014-03-01
124,BRIDGEPORT,211.0,99.0,2014-02-01,2014,2,139,2014-03-01
125,IRVING PARK,305.0,450.0,2014-02-01,2014,2,215,2014-03-01
126,UPTOWN,128.0,217.0,2014-02-01,2014,2,309,2014-03-01
127,AVONDALE,303.0,320.0,2014-02-01,2014,2,169,2014-03-01
128,LOGAN SQUARE,607.0,601.0,2014-02-01,2014,2,417,2014-03-01
129,HERMOSA,114.0,108.0,2014-02-01,2014,2,154,2014-03-01
130,LINCOLN PARK,109.0,580.0,2014-02-01,2014,2,285,2014-03-01
131,NEW CITY,160.0,388.0,2014-02-01,2014,2,396,2014-03-01
132,EDGEWATER,95.0,474.0,2014-02-01,2014,2,190,2014-03-01
133,NORTH CENTER,93.0,206.0,2014-02-01,2014,2,114,2014-03-01
134,BELMONT CRAGIN,419.0,528.0,2014-02-01,2014,2,371,2014-03-01
135,NORTH LAWNDALE,45.0,221.0,2014-02-01,2014,2,642,2014-03-01
136,WEST RIDGE,150.0,501.0,2014-02-01,2014,2,277,2014-03-01
137,OHARE,1.0,95.0,2014-02-01,2014,2,150,2014-03-01
138,WEST PULLMAN,3.0,292.0,2014-03-01,2014,3,372,2014-04-01
139,FULLER PARK,1.0,29.0,2014-03-01,2014,3,73,2014-04-01
140,WOODLAWN,2.0,157.0,2014-03-01,2014,3,344,2014-04-01
141,MORGAN PARK,6.0,208.0,2014-03-01,2014,3,183,2014-04-01
142,BEVERLY,6.0,330.0,2014-03-01,2014,3,72,2014-04-01
143,WEST GARFIELD PARK,15.0,191.0,2014-03-01,2014,3,538,2014-04-01
144,SOUTH SHORE,2.0,505.0,2014-03-01,2014,3,771,2014-04-01
145,ROSELAND,15.0,325.0,2014-03-01,2014,3,667,2014-04-01
146,HYDE PARK,2.0,261.0,2014-03-01,2014,3,121,2014-04-01
147,WASHINGTON HEIGHTS,1.0,281.0,2014-03-01,2014,3,286,2014-04-01
148,HEGEWISCH,3.0,111.0,2014-03-01,2014,3,66,2014-04-01
149,AVALON PARK,2.0,153.0,2014-03-01,2014,3,116,2014-04-01
150,EAST GARFIELD PARK,24.0,202.0,2014-03-01,2014,3,518,2014-04-01
151,SOUTH CHICAGO,49.0,276.0,2014-03-01,2014,3,486,2014-04-01
152,NEAR SOUTH SIDE,28.0,150.0,2014-03-01,2014,3,132,2014-04-01
153,MONTCLARE,23.0,173.0,2014-03-01,2014,3,37,2014-04-01
154,AUBURN GRESHAM,5.0,692.0,2014-03-01,2014,3,686,2014-04-01
155,NORWOOD PARK,16.0,752.0,2014-03-01,2014,3,98,2014-04-01
156,ENGLEWOOD,12.0,191.0,2014-03-01,2014,3,618,2014-04-01
157,SOUTH DEERING,25.0,216.0,2014-03-01,2014,3,177,2014-04-01
158,CHATHAM,2.0,446.0,2014-03-01,2014,3,487,2014-04-01
159,GREATER GRAND CROSSING,8.0,432.0,2014-03-01,2014,3,591,2014-04-01
