,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
812,OHARE,2.0,2.0,2014-12-01,2014,12,153,2015-01-01
813,MOUNT GREENWOOD,4.0,37.0,2014-12-01,2014,12,33,2015-01-01
814,SOUTH DEERING,11.0,11.0,2014-12-01,2014,12,178,2015-01-01
815,AVALON PARK,1.0,9.0,2014-12-01,2014,12,102,2015-01-01
816,DOUGLAS,6.0,3.0,2014-12-01,2014,12,205,2015-01-01
817,WASHINGTON HEIGHTS,5.0,38.0,2014-12-01,2014,12,219,2015-01-01
818,AUBURN GRESHAM,3.0,39.0,2014-12-01,2014,12,632,2015-01-01
819,WEST ENGLEWOOD,21.0,24.0,2014-12-01,2014,12,530,2015-01-01
820,PULLMAN,5.0,17.0,2014-12-01,2014,12,104,2015-01-01
821,MORGAN PARK,6.0,15.0,2014-12-01,2014,12,169,2015-01-01
822,HEGEWISCH,18.0,3.0,2014-12-01,2014,12,43,2015-01-01
823,ARMOUR SQUARE,39.0,36.0,2014-12-01,2014,12,91,2015-01-01
824,SOUTH SHORE,14.0,105.0,2014-12-01,2014,12,820,2015-01-01
825,NEAR SOUTH SIDE,26.0,7.0,2014-12-01,2014,12,159,2015-01-01
826,WEST PULLMAN,14.0,78.0,2014-12-01,2014,12,339,2015-01-01
827,NEW CITY,191.0,34.0,2014-12-01,2014,12,381,2015-01-01
828,CHICAGO LAWN,217.0,33.0,2014-12-01,2014,12,502,2015-01-01
829,JEFFERSON PARK,57.0,30.0,2014-12-01,2014,12,93,2015-01-01
830,WEST GARFIELD PARK,25.0,23.0,2014-12-01,2014,12,556,2015-01-01
831,FULLER PARK,1.0,7.0,2014-12-01,2014,12,62,2015-01-01
832,ENGLEWOOD,3.0,34.0,2014-12-01,2014,12,549,2015-01-01
833,CALUMET HEIGHTS,2.0,27.0,2014-12-01,2014,12,108,2015-01-01
834,HUMBOLDT PARK,168.0,16.0,2014-12-01,2014,12,693,2015-01-01
835,IRVING PARK,317.0,25.0,2014-12-01,2014,12,246,2015-01-01
836,NEAR WEST SIDE,232.0,93.0,2014-12-01,2014,12,580,2015-01-01
837,MONTCLARE,28.0,7.0,2014-12-01,2014,12,48,2015-01-01
838,PORTAGE PARK,178.0,65.0,2014-12-01,2014,12,319,2015-01-01
839,AVONDALE,360.0,14.0,2014-12-01,2014,12,218,2015-01-01
840,LOWER WEST SIDE,538.0,28.0,2014-12-01,2014,12,174,2015-01-01
841,LINCOLN PARK,219.0,68.0,2014-12-01,2014,12,257,2015-01-01
842,BELMONT CRAGIN,469.0,61.0,2014-12-01,2014,12,415,2015-01-01
843,NEAR NORTH SIDE,108.0,49.0,2014-12-01,2014,12,689,2015-01-01
844,WEST TOWN,826.0,51.0,2014-12-01,2014,12,526,2015-01-01
845,LOGAN SQUARE,752.0,60.0,2014-12-01,2014,12,390,2015-01-01
846,FOREST GLEN,20.0,25.0,2014-12-01,2014,12,36,2015-01-01
847,KENWOOD,3.0,2.0,2014-12-01,2014,12,120,2015-01-01
848,BEVERLY,14.0,18.0,2014-12-01,2014,12,62,2015-01-01
849,LINCOLN SQUARE,310.0,35.0,2014-12-01,2014,12,157,2015-01-01
850,SOUTH CHICAGO,90.0,45.0,2014-12-01,2014,12,405,2015-01-01
851,ASHBURN,74.0,45.0,2014-12-01,2014,12,210,2015-01-01
852,GARFIELD RIDGE,112.0,42.0,2014-12-01,2014,12,184,2015-01-01
853,EAST GARFIELD PARK,33.0,23.0,2014-12-01,2014,12,413,2015-01-01
854,GAGE PARK,468.0,17.0,2014-12-01,2014,12,195,2015-01-01
855,SOUTH LAWNDALE,810.0,60.0,2014-12-01,2014,12,313,2015-01-01
856,ROGERS PARK,141.0,20.0,2014-12-01,2014,12,297,2015-01-01
857,CLEARING,44.0,32.0,2014-12-01,2014,12,81,2015-01-01
858,WEST RIDGE,549.0,56.0,2014-12-01,2014,12,252,2015-01-01
859,NORTH CENTER,193.0,49.0,2014-12-01,2014,12,112,2015-01-01
860,DUNNING,56.0,18.0,2014-12-01,2014,12,147,2015-01-01
861,UPTOWN,111.0,11.0,2014-12-01,2014,12,247,2015-01-01
862,AUSTIN,68.0,61.0,2014-12-01,2014,12,1463,2015-01-01
863,HERMOSA,122.0,9.0,2014-12-01,2014,12,176,2015-01-01
864,AVALON PARK,1.0,21.0,2015-01-01,2015,1,96,2015-02-01
865,NORWOOD PARK,8.0,72.0,2015-01-01,2015,1,76,2015-02-01
866,WEST GARFIELD PARK,20.0,43.0,2015-01-01,2015,1,421,2015-02-01
867,CLEARING,17.0,57.0,2015-01-01,2015,1,53,2015-02-01
868,DOUGLAS,2.0,19.0,2015-01-01,2015,1,144,2015-02-01
869,MOUNT GREENWOOD,5.0,16.0,2015-01-01,2015,1,42,2015-02-01
870,PULLMAN,2.0,18.0,2015-01-01,2015,1,79,2015-02-01
871,FULLER PARK,8.0,31.0,2015-01-01,2015,1,51,2015-02-01
872,WASHINGTON HEIGHTS,2.0,80.0,2015-01-01,2015,1,210,2015-02-01
873,BEVERLY,11.0,41.0,2015-01-01,2015,1,61,2015-02-01
874,WEST PULLMAN,5.0,96.0,2015-01-01,2015,1,238,2015-02-01
875,WASHINGTON PARK,3.0,39.0,2015-01-01,2015,1,151,2015-02-01
876,KENWOOD,4.0,16.0,2015-01-01,2015,1,80,2015-02-01
877,HEGEWISCH,26.0,13.0,2015-01-01,2015,1,29,2015-02-01
878,WEST ENGLEWOOD,18.0,82.0,2015-01-01,2015,1,417,2015-02-01
879,ENGLEWOOD,26.0,78.0,2015-01-01,2015,1,400,2015-02-01
880,GRAND BOULEVARD,4.0,42.0,2015-01-01,2015,1,197,2015-02-01
881,GARFIELD RIDGE,53.0,177.0,2015-01-01,2015,1,132,2015-02-01
882,HYDE PARK,19.0,32.0,2015-01-01,2015,1,72,2015-02-01
883,WEST ELSDON,149.0,42.0,2015-01-01,2015,1,71,2015-02-01
884,SOUTH DEERING,11.0,68.0,2015-01-01,2015,1,119,2015-02-01
885,EAST SIDE,49.0,15.0,2015-01-01,2015,1,87,2015-02-01
886,ROSELAND,8.0,151.0,2015-01-01,2015,1,435,2015-02-01
887,AUSTIN,54.0,116.0,2015-01-01,2015,1,1134,2015-02-01
888,NEW CITY,211.0,94.0,2015-01-01,2015,1,306,2015-02-01
889,ASHBURN,39.0,81.0,2015-01-01,2015,1,143,2015-02-01
890,ARCHER HEIGHTS,263.0,71.0,2015-01-01,2015,1,82,2015-02-01
891,BRIDGEPORT,59.0,77.0,2015-01-01,2015,1,86,2015-02-01
892,CALUMET HEIGHTS,9.0,18.0,2015-01-01,2015,1,85,2015-02-01
893,SOUTH SHORE,10.0,113.0,2015-01-01,2015,1,591,2015-02-01
894,WEST LAWN,140.0,115.0,2015-01-01,2015,1,141,2015-02-01
895,CHICAGO LAWN,134.0,78.0,2015-01-01,2015,1,396,2015-02-01
896,FOREST GLEN,26.0,57.0,2015-01-01,2015,1,28,2015-02-01
897,AUBURN GRESHAM,6.0,127.0,2015-01-01,2015,1,513,2015-02-01
898,ARMOUR SQUARE,38.0,60.0,2015-01-01,2015,1,61,2015-02-01
899,GAGE PARK,305.0,91.0,2015-01-01,2015,1,138,2015-02-01
900,SOUTH CHICAGO,74.0,20.0,2015-01-01,2015,1,318,2015-02-01
901,NEAR NORTH SIDE,129.0,115.0,2015-01-01,2015,1,538,2015-02-01
902,NEAR SOUTH SIDE,13.0,33.0,2015-01-01,2015,1,118,2015-02-01
903,MONTCLARE,34.0,38.0,2015-01-01,2015,1,37,2015-02-01
904,BRIGHTON PARK,307.0,109.0,2015-01-01,2015,1,185,2015-02-01
905,HUMBOLDT PARK,121.0,107.0,2015-01-01,2015,1,553,2015-02-01
906,NORTH LAWNDALE,49.0,78.0,2015-01-01,2015,1,485,2015-02-01
907,EAST GARFIELD PARK,16.0,60.0,2015-01-01,2015,1,342,2015-02-01
908,UPTOWN,132.0,78.0,2015-01-01,2015,1,208,2015-02-01
909,LINCOLN SQUARE,284.0,61.0,2015-01-01,2015,1,110,2015-02-01
910,HERMOSA,225.0,51.0,2015-01-01,2015,1,107,2015-02-01
911,AVONDALE,371.0,71.0,2015-01-01,2015,1,166,2015-02-01
912,MCKINLEY PARK,167.0,82.0,2015-01-01,2015,1,79,2015-02-01
913,JEFFERSON PARK,28.0,66.0,2015-01-01,2015,1,88,2015-02-01
914,PORTAGE PARK,167.0,115.0,2015-01-01,2015,1,235,2015-02-01
915,ROGERS PARK,168.0,35.0,2015-01-01,2015,1,246,2015-02-01
916,NEAR WEST SIDE,232.0,237.0,2015-01-01,2015,1,432,2015-02-01
917,LOGAN SQUARE,738.0,218.0,2015-01-01,2015,1,325,2015-02-01
918,IRVING PARK,398.0,85.0,2015-01-01,2015,1,233,2015-02-01
919,WEST RIDGE,279.0,88.0,2015-01-01,2015,1,223,2015-02-01
920,ALBANY PARK,329.0,63.0,2015-01-01,2015,1,190,2015-02-01
921,NORTH PARK,145.0,35.0,2015-01-01,2015,1,61,2015-02-01
922,DUNNING,55.0,169.0,2015-01-01,2015,1,111,2015-02-01
923,LOOP,136.0,76.0,2015-01-01,2015,1,399,2015-02-01
924,NORTH CENTER,283.0,44.0,2015-01-01,2015,1,93,2015-02-01
925,LOWER WEST SIDE,787.0,103.0,2015-01-01,2015,1,168,2015-02-01
926,BELMONT CRAGIN,636.0,151.0,2015-01-01,2015,1,315,2015-02-01
927,SOUTH LAWNDALE,639.0,89.0,2015-01-01,2015,1,252,2015-02-01
928,LAKE VIEW,309.0,125.0,2015-01-01,2015,1,279,2015-02-01
929,EDGEWATER,202.0,63.0,2015-01-01,2015,1,140,2015-02-01
930,LINCOLN PARK,147.0,154.0,2015-01-01,2015,1,226,2015-02-01
931,WEST TOWN,558.0,204.0,2015-01-01,2015,1,422,2015-02-01
932,EDISON PARK,2.0,31.0,2015-02-01,2015,2,33,2015-03-01
933,CALUMET HEIGHTS,12.0,32.0,2015-02-01,2015,2,101,2015-03-01
934,FULLER PARK,4.0,15.0,2015-02-01,2015,2,67,2015-03-01
935,BEVERLY,2.0,69.0,2015-02-01,2015,2,89,2015-03-01
936,WASHINGTON PARK,3.0,52.0,2015-02-01,2015,2,221,2015-03-01
937,ROSELAND,6.0,46.0,2015-02-01,2015,2,571,2015-03-01
938,WASHINGTON HEIGHTS,2.0,61.0,2015-02-01,2015,2,270,2015-03-01
939,OAKLAND,1.0,10.0,2015-02-01,2015,2,48,2015-03-01
940,KENWOOD,2.0,33.0,2015-02-01,2015,2,120,2015-03-01
941,WOODLAWN,4.0,34.0,2015-02-01,2015,2,315,2015-03-01
942,PULLMAN,1.0,6.0,2015-02-01,2015,2,84,2015-03-01
943,SOUTH DEERING,10.0,21.0,2015-02-01,2015,2,159,2015-03-01
944,HEGEWISCH,21.0,16.0,2015-02-01,2015,2,39,2015-03-01
945,WEST PULLMAN,18.0,99.0,2015-02-01,2015,2,329,2015-03-01
946,NORWOOD PARK,7.0,102.0,2015-02-01,2015,2,107,2015-03-01
947,DOUGLAS,2.0,63.0,2015-02-01,2015,2,213,2015-03-01
948,SOUTH SHORE,9.0,69.0,2015-02-01,2015,2,804,2015-03-01
949,SOUTH CHICAGO,41.0,24.0,2015-02-01,2015,2,407,2015-03-01
950,GRAND BOULEVARD,21.0,62.0,2015-02-01,2015,2,236,2015-03-01
951,NEAR SOUTH SIDE,18.0,55.0,2015-02-01,2015,2,131,2015-03-01
952,HYDE PARK,8.0,48.0,2015-02-01,2015,2,117,2015-03-01
953,GREATER GRAND CROSSING,6.0,44.0,2015-02-01,2015,2,594,2015-03-01
954,AUBURN GRESHAM,14.0,108.0,2015-02-01,2015,2,634,2015-03-01
955,ENGLEWOOD,10.0,69.0,2015-02-01,2015,2,566,2015-03-01
956,WEST ENGLEWOOD,12.0,120.0,2015-02-01,2015,2,624,2015-03-01
957,EAST SIDE,65.0,42.0,2015-02-01,2015,2,95,2015-03-01
958,AVALON PARK,4.0,13.0,2015-02-01,2015,2,152,2015-03-01
959,FOREST GLEN,10.0,117.0,2015-02-01,2015,2,30,2015-03-01
960,CLEARING,14.0,312.0,2015-02-01,2015,2,71,2015-03-01
961,MONTCLARE,42.0,23.0,2015-02-01,2015,2,59,2015-03-01
962,PORTAGE PARK,126.0,118.0,2015-02-01,2015,2,285,2015-03-01
963,AUSTIN,57.0,140.0,2015-02-01,2015,2,1428,2015-03-01
964,EAST GARFIELD PARK,16.0,51.0,2015-02-01,2015,2,481,2015-03-01
965,GARFIELD RIDGE,77.0,125.0,2015-02-01,2015,2,174,2015-03-01
966,NORTH PARK,43.0,49.0,2015-02-01,2015,2,59,2015-03-01
967,CHICAGO LAWN,164.0,113.0,2015-02-01,2015,2,497,2015-03-01
968,BRIDGEPORT,85.0,112.0,2015-02-01,2015,2,151,2015-03-01
969,NEW CITY,201.0,98.0,2015-02-01,2015,2,395,2015-03-01
970,NEAR NORTH SIDE,102.0,451.0,2015-02-01,2015,2,671,2015-03-01
971,AVONDALE,306.0,56.0,2015-02-01,2015,2,180,2015-03-01
972,HERMOSA,106.0,54.0,2015-02-01,2015,2,150,2015-03-01
973,EDGEWATER,74.0,108.0,2015-02-01,2015,2,191,2015-03-01
974,ARCHER HEIGHTS,180.0,36.0,2015-02-01,2015,2,103,2015-03-01
975,ALBANY PARK,199.0,69.0,2015-02-01,2015,2,223,2015-03-01
976,WEST GARFIELD PARK,21.0,65.0,2015-02-01,2015,2,566,2015-03-01
977,NORTH CENTER,164.0,64.0,2015-02-01,2015,2,105,2015-03-01
978,GAGE PARK,344.0,114.0,2015-02-01,2015,2,187,2015-03-01
979,ARMOUR SQUARE,32.0,80.0,2015-02-01,2015,2,81,2015-03-01
980,DUNNING,57.0,122.0,2015-02-01,2015,2,136,2015-03-01
981,WEST LAWN,75.0,483.0,2015-02-01,2015,2,186,2015-03-01
982,JEFFERSON PARK,19.0,82.0,2015-02-01,2015,2,87,2015-03-01
983,NORTH LAWNDALE,59.0,124.0,2015-02-01,2015,2,723,2015-03-01
984,ROGERS PARK,100.0,100.0,2015-02-01,2015,2,293,2015-03-01
985,UPTOWN,94.0,56.0,2015-02-01,2015,2,278,2015-03-01
986,NEAR WEST SIDE,184.0,342.0,2015-02-01,2015,2,611,2015-03-01
987,WEST ELSDON,149.0,103.0,2015-02-01,2015,2,81,2015-03-01
988,ASHBURN,37.0,100.0,2015-02-01,2015,2,172,2015-03-01
989,LAKE VIEW,151.0,109.0,2015-02-01,2015,2,400,2015-03-01
990,LOGAN SQUARE,516.0,150.0,2015-02-01,2015,2,393,2015-03-01
991,LOOP,108.0,285.0,2015-02-01,2015,2,573,2015-03-01
992,LINCOLN SQUARE,280.0,83.0,2015-02-01,2015,2,135,2015-03-01
993,HUMBOLDT PARK,89.0,92.0,2015-02-01,2015,2,742,2015-03-01
994,BELMONT CRAGIN,326.0,163.0,2015-02-01,2015,2,417,2015-03-01
995,WEST TOWN,569.0,265.0,2015-02-01,2015,2,485,2015-03-01
996,LINCOLN PARK,121.0,95.0,2015-02-01,2015,2,305,2015-03-01
997,BRIGHTON PARK,482.0,91.0,2015-02-01,2015,2,247,2015-03-01
998,IRVING PARK,259.0,103.0,2015-02-01,2015,2,264,2015-03-01
999,WEST RIDGE,145.0,112.0,2015-02-01,2015,2,239,2015-03-01
1000,MCKINLEY PARK,283.0,63.0,2015-02-01,2015,2,75,2015-03-01
1001,SOUTH LAWNDALE,424.0,185.0,2015-02-01,2015,2,390,2015-03-01
1002,MOUNT GREENWOOD,15.0,36.0,2015-02-01,2015,2,59,2015-03-01
1003,LOWER WEST SIDE,495.0,194.0,2015-02-01,2015,2,202,2015-03-01
1004,OAKLAND,1.0,7.0,2015-03-01,2015,3,50,2015-04-01
1005,CALUMET HEIGHTS,2.0,63.0,2015-03-01,2015,3,135,2015-04-01
1006,WASHINGTON HEIGHTS,2.0,153.0,2015-03-01,2015,3,263,2015-04-01
1007,EDISON PARK,1.0,132.0,2015-03-01,2015,3,16,2015-04-01
1008,NORWOOD PARK,4.0,297.0,2015-03-01,2015,3,114,2015-04-01
1009,WASHINGTON PARK,3.0,38.0,2015-03-01,2015,3,240,2015-04-01
1010,PULLMAN,1.0,42.0,2015-03-01,2015,3,108,2015-04-01
1011,DOUGLAS,2.0,23.0,2015-03-01,2015,3,196,2015-04-01
1012,ROSELAND,10.0,274.0,2015-03-01,2015,3,575,2015-04-01
1013,BEVERLY,9.0,132.0,2015-03-01,2015,3,89,2015-04-01
1014,WOODLAWN,3.0,87.0,2015-03-01,2015,3,323,2015-04-01
1015,HEGEWISCH,18.0,27.0,2015-03-01,2015,3,44,2015-04-01
1016,MOUNT GREENWOOD,2.0,98.0,2015-03-01,2015,3,52,2015-04-01
1017,WEST ENGLEWOOD,22.0,183.0,2015-03-01,2015,3,689,2015-04-01
1018,FULLER PARK,7.0,26.0,2015-03-01,2015,3,64,2015-04-01
1019,EAST GARFIELD PARK,33.0,76.0,2015-03-01,2015,3,442,2015-04-01
1020,WEST GARFIELD PARK,25.0,39.0,2015-03-01,2015,3,532,2015-04-01
1021,CHATHAM,6.0,126.0,2015-03-01,2015,3,497,2015-04-01
1022,OHARE,5.0,23.0,2015-03-01,2015,3,143,2015-04-01
1023,NEAR SOUTH SIDE,38.0,77.0,2015-03-01,2015,3,117,2015-04-01
1024,FOREST GLEN,29.0,119.0,2015-03-01,2015,3,42,2015-04-01
1025,JEFFERSON PARK,36.0,105.0,2015-03-01,2015,3,86,2015-04-01
1026,SOUTH SHORE,18.0,125.0,2015-03-01,2015,3,752,2015-04-01
1027,WEST PULLMAN,34.0,73.0,2015-03-01,2015,3,307,2015-04-01
1028,ENGLEWOOD,32.0,81.0,2015-03-01,2015,3,706,2015-04-01
1029,CLEARING,28.0,133.0,2015-03-01,2015,3,70,2015-04-01
1030,UPTOWN,97.0,54.0,2015-03-01,2015,3,312,2015-04-01
1031,MONTCLARE,18.0,38.0,2015-03-01,2015,3,48,2015-04-01
1032,AUBURN GRESHAM,21.0,143.0,2015-03-01,2015,3,653,2015-04-01
1033,NEAR NORTH SIDE,83.0,154.0,2015-03-01,2015,3,700,2015-04-01
1034,NORTH CENTER,314.0,75.0,2015-03-01,2015,3,120,2015-04-01
1035,DUNNING,50.0,140.0,2015-03-01,2015,3,138,2015-04-01
1036,HYDE PARK,21.0,73.0,2015-03-01,2015,3,117,2015-04-01
1037,LINCOLN PARK,144.0,195.0,2015-03-01,2015,3,297,2015-04-01
1038,GRAND BOULEVARD,32.0,35.0,2015-03-01,2015,3,249,2015-04-01
1039,GREATER GRAND CROSSING,11.0,142.0,2015-03-01,2015,3,584,2015-04-01
1040,ARCHER HEIGHTS,236.0,87.0,2015-03-01,2015,3,89,2015-04-01
1041,EDGEWATER,103.0,75.0,2015-03-01,2015,3,183,2015-04-01
1042,WEST ELSDON,242.0,65.0,2015-03-01,2015,3,72,2015-04-01
1043,EAST SIDE,83.0,64.0,2015-03-01,2015,3,109,2015-04-01
1044,NORTH PARK,46.0,57.0,2015-03-01,2015,3,73,2015-04-01
1045,ALBANY PARK,366.0,74.0,2015-03-01,2015,3,194,2015-04-01
1046,HERMOSA,154.0,70.0,2015-03-01,2015,3,132,2015-04-01
1047,WEST RIDGE,178.0,171.0,2015-03-01,2015,3,240,2015-04-01
1048,SOUTH CHICAGO,65.0,77.0,2015-03-01,2015,3,387,2015-04-01
1049,ROGERS PARK,123.0,159.0,2015-03-01,2015,3,238,2015-04-01
1050,LINCOLN SQUARE,413.0,69.0,2015-03-01,2015,3,134,2015-04-01
1051,IRVING PARK,300.0,122.0,2015-03-01,2015,3,218,2015-04-01
1052,GARFIELD RIDGE,112.0,262.0,2015-03-01,2015,3,119,2015-04-01
1053,HUMBOLDT PARK,152.0,238.0,2015-03-01,2015,3,719,2015-04-01
1054,ASHBURN,60.0,153.0,2015-03-01,2015,3,184,2015-04-01
1055,BELMONT CRAGIN,577.0,200.0,2015-03-01,2015,3,387,2015-04-01
1056,PORTAGE PARK,245.0,157.0,2015-03-01,2015,3,279,2015-04-01
1057,WEST LAWN,112.0,133.0,2015-03-01,2015,3,155,2015-04-01
1058,NEW CITY,229.0,257.0,2015-03-01,2015,3,422,2015-04-01
1059,WEST TOWN,775.0,330.0,2015-03-01,2015,3,526,2015-04-01
1060,MCKINLEY PARK,470.0,77.0,2015-03-01,2015,3,81,2015-04-01
1061,NORTH LAWNDALE,87.0,103.0,2015-03-01,2015,3,689,2015-04-01
1062,LAKE VIEW,247.0,137.0,2015-03-01,2015,3,398,2015-04-01
1063,SOUTH LAWNDALE,610.0,152.0,2015-03-01,2015,3,414,2015-04-01
1064,ARMOUR SQUARE,40.0,50.0,2015-03-01,2015,3,78,2015-04-01
1065,GAGE PARK,563.0,127.0,2015-03-01,2015,3,200,2015-04-01
1066,LOOP,186.0,273.0,2015-03-01,2015,3,586,2015-04-01
1067,AVONDALE,530.0,94.0,2015-03-01,2015,3,182,2015-04-01
1068,BRIDGEPORT,224.0,100.0,2015-03-01,2015,3,120,2015-04-01
1069,SOUTH DEERING,21.0,59.0,2015-03-01,2015,3,174,2015-04-01
1070,NEAR WEST SIDE,197.0,233.0,2015-03-01,2015,3,697,2015-04-01
1071,LOWER WEST SIDE,668.0,151.0,2015-03-01,2015,3,174,2015-04-01
1072,BRIGHTON PARK,842.0,207.0,2015-03-01,2015,3,252,2015-04-01
1073,LOGAN SQUARE,645.0,190.0,2015-03-01,2015,3,404,2015-04-01
1074,AUSTIN,85.0,235.0,2015-03-01,2015,3,1483,2015-04-01
1075,CHICAGO LAWN,371.0,266.0,2015-03-01,2015,3,543,2015-04-01
1076,OHARE,1.0,51.0,2015-04-01,2015,4,152,2015-05-01
1077,WOODLAWN,4.0,34.0,2015-04-01,2015,4,321,2015-05-01
1078,ENGLEWOOD,12.0,60.0,2015-04-01,2015,4,790,2015-05-01
1079,JEFFERSON PARK,45.0,95.0,2015-04-01,2015,4,103,2015-05-01
1080,OAKLAND,1.0,9.0,2015-04-01,2015,4,55,2015-05-01
1081,SOUTH DEERING,17.0,34.0,2015-04-01,2015,4,169,2015-05-01
1082,EDISON PARK,5.0,45.0,2015-04-01,2015,4,19,2015-05-01
1083,NORWOOD PARK,10.0,147.0,2015-04-01,2015,4,111,2015-05-01
1084,WEST GARFIELD PARK,18.0,34.0,2015-04-01,2015,4,462,2015-05-01
1085,HEGEWISCH,13.0,15.0,2015-04-01,2015,4,45,2015-05-01
1086,FULLER PARK,5.0,7.0,2015-04-01,2015,4,89,2015-05-01
1087,GRAND BOULEVARD,50.0,46.0,2015-04-01,2015,4,283,2015-05-01
1088,WASHINGTON PARK,3.0,9.0,2015-04-01,2015,4,224,2015-05-01
1089,ARMOUR SQUARE,23.0,46.0,2015-04-01,2015,4,91,2015-05-01
1090,EAST GARFIELD PARK,39.0,61.0,2015-04-01,2015,4,496,2015-05-01
1091,DOUGLAS,3.0,13.0,2015-04-01,2015,4,247,2015-05-01
1092,MOUNT GREENWOOD,19.0,75.0,2015-04-01,2015,4,65,2015-05-01
1093,MONTCLARE,30.0,50.0,2015-04-01,2015,4,41,2015-05-01
1094,CHATHAM,10.0,104.0,2015-04-01,2015,4,548,2015-05-01
1095,ASHBURN,72.0,123.0,2015-04-01,2015,4,184,2015-05-01
1096,ROSELAND,6.0,179.0,2015-04-01,2015,4,622,2015-05-01
1097,SOUTH CHICAGO,47.0,101.0,2015-04-01,2015,4,464,2015-05-01
1098,NEW CITY,196.0,53.0,2015-04-01,2015,4,447,2015-05-01
1099,NEAR SOUTH SIDE,47.0,30.0,2015-04-01,2015,4,142,2015-05-01
1100,NORTH PARK,49.0,53.0,2015-04-01,2015,4,79,2015-05-01
1101,DUNNING,43.0,159.0,2015-04-01,2015,4,134,2015-05-01
1102,WEST ELSDON,135.0,114.0,2015-04-01,2015,4,75,2015-05-01
1103,CALUMET HEIGHTS,6.0,93.0,2015-04-01,2015,4,132,2015-05-01
1104,LOOP,205.0,142.0,2015-04-01,2015,4,551,2015-05-01
1105,GREATER GRAND CROSSING,12.0,113.0,2015-04-01,2015,4,618,2015-05-01
1106,WEST PULLMAN,12.0,154.0,2015-04-01,2015,4,390,2015-05-01
1107,BEVERLY,17.0,133.0,2015-04-01,2015,4,133,2015-05-01
1108,WASHINGTON HEIGHTS,7.0,113.0,2015-04-01,2015,4,314,2015-05-01
1109,EAST SIDE,94.0,52.0,2015-04-01,2015,4,118,2015-05-01
1110,AUBURN GRESHAM,8.0,144.0,2015-04-01,2015,4,679,2015-05-01
1111,SOUTH SHORE,21.0,109.0,2015-04-01,2015,4,793,2015-05-01
1112,CHICAGO LAWN,370.0,106.0,2015-04-01,2015,4,623,2015-05-01
1113,HYDE PARK,18.0,39.0,2015-04-01,2015,4,123,2015-05-01
1114,WEST ENGLEWOOD,23.0,48.0,2015-04-01,2015,4,800,2015-05-01
1115,ARCHER HEIGHTS,252.0,57.0,2015-04-01,2015,4,101,2015-05-01
1116,GAGE PARK,481.0,116.0,2015-04-01,2015,4,225,2015-05-01
1117,BRIDGEPORT,133.0,52.0,2015-04-01,2015,4,129,2015-05-01
1118,MORGAN PARK,5.0,59.0,2015-04-01,2015,4,196,2015-05-01
1119,CLEARING,69.0,38.0,2015-04-01,2015,4,80,2015-05-01
1120,MCKINLEY PARK,391.0,34.0,2015-04-01,2015,4,108,2015-05-01
1121,GARFIELD RIDGE,150.0,91.0,2015-04-01,2015,4,154,2015-05-01
1122,WEST LAWN,156.0,72.0,2015-04-01,2015,4,203,2015-05-01
1123,NEAR WEST SIDE,234.0,213.0,2015-04-01,2015,4,727,2015-05-01
1124,EDGEWATER,156.0,147.0,2015-04-01,2015,4,199,2015-05-01
1125,NEAR NORTH SIDE,249.0,218.0,2015-04-01,2015,4,796,2015-05-01
1126,HERMOSA,105.0,46.0,2015-04-01,2015,4,152,2015-05-01
1127,NORTH LAWNDALE,61.0,105.0,2015-04-01,2015,4,796,2015-05-01
1128,ROGERS PARK,135.0,31.0,2015-04-01,2015,4,332,2015-05-01
1129,UPTOWN,121.0,67.0,2015-04-01,2015,4,316,2015-05-01
1130,AUSTIN,151.0,228.0,2015-04-01,2015,4,1554,2015-05-01
1131,SOUTH LAWNDALE,648.0,54.0,2015-04-01,2015,4,399,2015-05-01
1132,BELMONT CRAGIN,432.0,135.0,2015-04-01,2015,4,427,2015-05-01
1133,NORTH CENTER,271.0,84.0,2015-04-01,2015,4,107,2015-05-01
1134,LAKE VIEW,333.0,120.0,2015-04-01,2015,4,457,2015-05-01
1135,PORTAGE PARK,160.0,159.0,2015-04-01,2015,4,316,2015-05-01
1136,FOREST GLEN,26.0,99.0,2015-04-01,2015,4,35,2015-05-01
1137,AVONDALE,432.0,81.0,2015-04-01,2015,4,189,2015-05-01
1138,WEST TOWN,764.0,236.0,2015-04-01,2015,4,587,2015-05-01
1139,LINCOLN PARK,247.0,129.0,2015-04-01,2015,4,348,2015-05-01
1140,HUMBOLDT PARK,222.0,190.0,2015-04-01,2015,4,734,2015-05-01
1141,LINCOLN SQUARE,238.0,133.0,2015-04-01,2015,4,158,2015-05-01
1142,LOWER WEST SIDE,592.0,110.0,2015-04-01,2015,4,249,2015-05-01
1143,IRVING PARK,428.0,115.0,2015-04-01,2015,4,256,2015-05-01
1144,WEST RIDGE,197.0,156.0,2015-04-01,2015,4,283,2015-05-01
1145,LOGAN SQUARE,701.0,216.0,2015-04-01,2015,4,401,2015-05-01
1146,BRIGHTON PARK,557.0,196.0,2015-04-01,2015,4,232,2015-05-01
1147,ALBANY PARK,238.0,108.0,2015-04-01,2015,4,261,2015-05-01
1148,OAKLAND,1.0,1.0,2015-05-01,2015,5,48,2015-06-01
1149,EDISON PARK,2.0,10.0,2015-05-01,2015,5,26,2015-06-01
